Binomial,Year,cwl,Body_mass.g.,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,2002,84,23,,-45.427917,-23.593222
Trichothraupis_melanops,2015,77,,,-47.245302,-24.06865
Trichothraupis_melanops,2016,80,,,-47.253177,-24.086093
Trichothraupis_melanops,2006,80,22,,-48.46,-23.29
Trichothraupis_melanops,2016,86,22,6.5,-49.076722,-22.775
Trichothraupis_melanops,2001,83.4,30,9,-48.474789,-27.585696
Trichothraupis_melanops,2006,,27,,-47.436016,-23.880844
Trichothraupis_melanops,2012,78.1,23,,-48.541493,-25.587558
Trichothraupis_melanops,2006,,21,,-47.81,-23.95
Trichothraupis_melanops,2005,,23,,-45.982,-23.633
Trichothraupis_melanops,2008,81.9,27,,-48.541493,-25.587558
Trichothraupis_melanops,2016,81,,,-47.198404,-24.045634
Trichothraupis_melanops,2004,,20,,-42.2,-20.566667
Trichothraupis_melanops,2015,76,22,,-46.369417,-23.842417
Trichothraupis_melanops,2010,82,24,,-48.433333,-23.266667
Trichothraupis_melanops,2006,,,,-47.48322,-23.886254
Trichothraupis_melanops,2010,82,21,,-48.433333,-23.266667
Trichothraupis_melanops,2017,78.8,26.4,,-48.675863,-25.301518
Trichothraupis_melanops,2015,78.57,24,,-48.981171,-25.49618
Trichothraupis_melanops,2015,83,23,,-46.369417,-23.842417
Trichothraupis_melanops,2011,76.5,24,,-48.541493,-25.587558
Trichothraupis_melanops,2001,,25,8,-48.40777778,-24.278333
Trichothraupis_melanops,2017,74.7,26,,-48.675863,-25.301518
Trichothraupis_melanops,2002,76.8,26,,-48.541493,-25.587558
Trichothraupis_melanops,2010,,,,-48.433333,-23.266667
Trichothraupis_melanops,2017,82.1,27,,-48.541493,-25.587558
Trichothraupis_melanops,2001,81.7,24,9.3,-48.474789,-27.585696
Trichothraupis_melanops,2000,,23.5,8.8,-48.416666,-24.316666
Trichothraupis_melanops,2006,,25,,-47.460399,-23.88904
Trichothraupis_melanops,2001,,21,7.8,-48.40777778,-24.278333
Trichothraupis_melanops,2000,,25.5,8,-48.416666,-24.316666
Trichothraupis_melanops,2015,80,,,-47.253177,-24.086093
Trichothraupis_melanops,2005,,22,,-47.410015,-23.951935
Trichothraupis_melanops,2001,82,22.5,9,-42.38333,-22.5
Trichothraupis_melanops,2015,80,25,,-48.541493,-25.587558
Trichothraupis_melanops,2006,,25,,-47.480381,-23.876407
Trichothraupis_melanops,1999,,25,,-48.364722,-24.304722
Trichothraupis_melanops,2005,,24,,-47.480162,-23.913781
Trichothraupis_melanops,2016,81,25,,-49.672487,-22.37698
Trichothraupis_melanops,2001,,25,,-48.40777778,-24.278333
Trichothraupis_melanops,1999,,24,,-48.364722,-24.304722
Trichothraupis_melanops,2006,84,22,,-48.46,-23.29
Trichothraupis_melanops,2006,,25,,-47.460382,-23.851281
Trichothraupis_melanops,2016,90,23,,-49.672487,-22.37698
Trichothraupis_melanops,2016,80,20,,-49.672487,-22.37698
Trichothraupis_melanops,2013,82,26,9.65,-47.949986,-24.16386
Trichothraupis_melanops,2006,,,,-47.469706,-23.918526
Trichothraupis_melanops,2011,83.6,25,,-48.541493,-25.587558
Trichothraupis_melanops,2015,78,22,,-46.340917,-23.855861
Trichothraupis_melanops,2016,83,20,7.2,-49.076722,-22.775
Trichothraupis_melanops,2017,79.65,23.8,,-48.675863,-25.301518
Trichothraupis_melanops,2017,78.4,23.8,,-48.673631,-25.304749
Trichothraupis_melanops,2006,,24,,-47.446516,-23.833638
Trichothraupis_melanops,2015,71,,,-47.198404,-24.045634
Trichothraupis_melanops,1999,,24,,-48.364722,-24.304722
Trichothraupis_melanops,2001,88.6,24,8.5,-48.810668,-27.73223
Trichothraupis_melanops,2015,87,24,,-47.198404,-24.045634
Trichothraupis_melanops,2009,85,23,,-48.433333,-23.266667
Trichothraupis_melanops,2015,82.64,24.4,,-48.981171,-25.49618
Trichothraupis_melanops,2012,80,20,9.5,-50.6967,-24.1431
Trichothraupis_melanops,2006,79,22,,-45.982,-23.633
Trichothraupis_melanops,2017,,,,-47.245302,-24.06865
Trichothraupis_melanops,2013,89,20,,-48.884167,-26.002222
Trichothraupis_melanops,2015,80,22,,-46.369417,-23.842417
Trichothraupis_melanops,2013,79,25,9.5,-47.949986,-24.16386
Trichothraupis_melanops,2006,,26.5,,-47.460382,-23.851281
Trichothraupis_melanops,2017,75.25,26.5,,-48.68104,-25.301984
Trichothraupis_melanops,2006,,24,,-47.396673,-23.947513
Trichothraupis_melanops,2013,86,26,10.25,-47.949986,-24.16386
Trichothraupis_melanops,2001,,22,8.5,-48.40777778,-24.278333
Trichothraupis_melanops,2006,76.5,,,-48.541493,-25.587558
Trichothraupis_melanops,2002,88,24,10.7,-42.38333,-22.5
Trichothraupis_melanops,2016,80.1,21.5,,-54.487792,-25.619635
Trichothraupis_melanops,2017,78,25,,-48.673631,-25.304749
Trichothraupis_melanops,2005,,25,,-47.449741,-23.843869
Trichothraupis_melanops,2006,,24.5,,-47.490814,-23.873765
Trichothraupis_melanops,2012,81.4,25,,-48.541493,-25.587558
Trichothraupis_melanops,2002,85,27,11.6,-42.38333,-22.5
Trichothraupis_melanops,2001,79,22,10.8,-42.38333,-22.5
Trichothraupis_melanops,2005,,24,,-47.452334,-23.920014
Trichothraupis_melanops,2013,87,26,,-49.671408,-28.649798
Trichothraupis_melanops,2005,,20,,-47.410015,-23.951935
Trichothraupis_melanops,2002,82,23,9.2,-42.38333,-22.5
Trichothraupis_melanops,2006,,25,,-47.471961,-23.867741
Trichothraupis_melanops,2017,80.25,25.5,,-48.673631,-25.304749
Trichothraupis_melanops,2000,,23,7.8,-48.416666,-24.316666
Trichothraupis_melanops,2003,78,28,,-48.541493,-25.587558
Trichothraupis_melanops,2006,85,21,,-48.46,-23.29
Trichothraupis_melanops,1999,,20,,-48.364722,-24.304722
Trichothraupis_melanops,2017,77.7,25.5,,-48.68104,-25.301984
Trichothraupis_melanops,2012,79,21,10,-50.6967,-24.1431
Trichothraupis_melanops,2017,81,22,8,-49.398056,-22.530694
Trichothraupis_melanops,2017,73.5,24,,-48.675863,-25.301518
Trichothraupis_melanops,2004,83.5,26,,-48.541493,-25.587558
Trichothraupis_melanops,2010,88,,,-48.433333,-23.266667
Trichothraupis_melanops,2017,75.45,20.5,,-48.673631,-25.304749
Trichothraupis_melanops,2008,84.3,27,,-48.541493,-25.587558
Trichothraupis_melanops,2007,,22.5,,-47.478972,-23.893093
Trichothraupis_melanops,2006,,25,,-47.446516,-23.833638
Trichothraupis_melanops,2017,81.6,26.6,,-48.673631,-25.304749
Trichothraupis_melanops,1996,85,22,6.1,-44.204194,-23.183073
Trichothraupis_melanops,2005,,23.5,,-47.452334,-23.920014
Trichothraupis_melanops,2006,77,23,,-47.684,-23.915
Trichothraupis_melanops,2005,84.9,,,-46.400954,-23.843052
Trichothraupis_melanops,2006,,19.5,,-47.490814,-23.873765
Trichothraupis_melanops,2008,84,22,4.96,-48.054843,-20.091019
Trichothraupis_melanops,1999,83,22,,-47.841667,-21.971667
Trichothraupis_melanops,2013,76.9,23.5,,-54.487792,-25.619635
Trichothraupis_melanops,2008,77,23,5.77,-48.054843,-20.091019
Trichothraupis_melanops,2007,,22.5,,-47.453913,-23.907938
Trichothraupis_melanops,2007,82,23,5.66,-48.054843,-20.091019
Trichothraupis_melanops,2012,81,26.5,,-49.405145,-28.599546
Trichothraupis_melanops,2012,84,24.5,,-49.405145,-28.599546
Trichothraupis_melanops,2013,82,24.5,,-49.405145,-28.599546
Trichothraupis_melanops,2012,79.1,24,,-48.541493,-25.587558
Trichothraupis_melanops,2011,81.5,,,-46.016667,-23.033333
Trichothraupis_melanops,2009,88,21,5.3,-48.054843,-20.091019
Trichothraupis_melanops,2006,,21.5,,-47.452334,-23.920014
Trichothraupis_melanops,2010,88,,,-46.016667,-23.033333
Trichothraupis_melanops,2002,82.6,24,,-48.541493,-25.587558
Trichothraupis_melanops,2005,79.7,20,,-46.400954,-23.843052
Trichothraupis_melanops,2008,78,22,5.89,-48.054843,-20.091019
Trichothraupis_melanops,2016,86,19,,-49.672487,-22.37698
Trichothraupis_melanops,2001,82.3,27,9,-48.812205,-27.768275
Trichothraupis_melanops,2006,83,22,,-45.982,-23.633
Trichothraupis_melanops,2007,82,25.5,6.4,-44.202778,-23.175
Trichothraupis_melanops,2005,,29,,-47.446516,-23.833638
Trichothraupis_melanops,2003,76,23,8.7,-42.38333,-22.5
Trichothraupis_melanops,2014,85,21,,-49.671408,-28.649798
Trichothraupis_melanops,1999,,23.5,,-48.364722,-24.304722
Trichothraupis_melanops,2007,,25,,-47.460382,-23.851281
Trichothraupis_melanops,2017,79.8,24.7,,-48.673631,-25.304749
Trichothraupis_melanops,2017,76.25,25.5,,-48.68104,-25.301984
Trichothraupis_melanops,2014,84.63,26.66,6.78,-48.34105,-25.14759
Trichothraupis_melanops,2017,82,21,7.2,-49.398056,-22.530694
Trichothraupis_melanops,2006,89,22.5,,-47.81,-23.95
Trichothraupis_melanops,2015,77.9,24,,-48.541493,-25.587558
Trichothraupis_melanops,2007,83,19,4.9,-48.054843,-20.091019
