Binomial,Year,cwl,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,1991,76,7.47,-47.833333,-24.183333
Trichothraupis_melanops,2015,77,,-47.245302,-24.06865
Trichothraupis_melanops,2016,80,,-47.253177,-24.086093
Trichothraupis_melanops,2006,80,,-48.46,-23.29
Trichothraupis_melanops,2016,86,6.5,-49.076722,-22.775
Trichothraupis_melanops,2001,83.4,9,-48.474789,-27.585696
Trichothraupis_melanops,2006,,,-47.436016,-23.880844
Trichothraupis_melanops,2012,78.1,,-48.541493,-25.587558
Trichothraupis_melanops,2006,,,-47.81,-23.95
Trichothraupis_melanops,2005,,,-45.982,-23.633
Trichothraupis_melanops,2008,81.9,,-48.541493,-25.587558
Trichothraupis_melanops,2016,81,,-47.198404,-24.045634
Trichothraupis_melanops,2004,,,-42.2,-20.566667
Trichothraupis_melanops,2015,76,,-46.369417,-23.842417
Trichothraupis_melanops,2010,82,,-48.433333,-23.266667
Trichothraupis_melanops,1990,76,7.98,-48.416667,-24.283333
Trichothraupis_melanops,2006,,,-47.48322,-23.886254
Trichothraupis_melanops,2010,82,,-48.433333,-23.266667
Trichothraupis_melanops,2017,78.8,,-48.675863,-25.301518
Trichothraupis_melanops,2015,78.57,,-48.981171,-25.49618
Trichothraupis_melanops,2015,83,,-46.369417,-23.842417
Trichothraupis_melanops,2011,76.5,,-48.541493,-25.587558
Trichothraupis_melanops,2001,,8,-48.40777778,-24.278333
Trichothraupis_melanops,2017,74.7,,-48.675863,-25.301518
Trichothraupis_melanops,2002,76.8,,-48.541493,-25.587558
Trichothraupis_melanops,2010,,,-48.433333,-23.266667
Trichothraupis_melanops,2017,82.1,,-48.541493,-25.587558
Trichothraupis_melanops,2001,81.7,9.3,-48.474789,-27.585696
Trichothraupis_melanops,2000,,8.8,-48.416666,-24.316666
Trichothraupis_melanops,2006,,,-47.460399,-23.88904
Trichothraupis_melanops,2001,,7.8,-48.40777778,-24.278333
Trichothraupis_melanops,2000,,8,-48.416666,-24.316666
Trichothraupis_melanops,2015,80,,-47.253177,-24.086093
Trichothraupis_melanops,2005,,,-47.410015,-23.951935
Trichothraupis_melanops,2001,82,9,-42.38333,-22.5
Trichothraupis_melanops,2015,80,,-48.541493,-25.587558
