ID_ABT,Binomial,Family,Sex,Year,month,season,cwl,wing_col,Bill_width.mm.,Body_mass.g.,Main_researcher,Municipality,Locality,Longitude_decimal_degrees,Latitude_decimal_degrees,Altitude,Molt,Ring
EH0476,Haplospiza_unicolor,Thraupidae,Male,1999,12,DJF,,,5.2,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33378
VC0660,Haplospiza_unicolor,Thraupidae,Female,2010,2,DJF,,,,14,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98677
CF0757,Haplospiza_unicolor,Thraupidae,Female,2017,1,DJF,45,right,,15.1,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.186006,-29.499814,747,Yes,E168405
PA0508,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,67,right,,16,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54005
LI0392,Haplospiza_unicolor,Thraupidae,Female,2004,1,DJF,,,,18,I.de Faria,Manhuaçu,,-42.2,-20.566667,905,,
CF0758,Haplospiza_unicolor,Thraupidae,Female,2017,1,DJF,46,right,,13.7,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.186006,-29.499814,747,no,E168409
PA0719,Haplospiza_unicolor,Thraupidae,Female,2006,5,MAM,61,right,,13.5,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69491
VC0671,Haplospiza_unicolor,Thraupidae,Female,2010,2,DJF,58.5,right,,18,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98694
PA0506,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,65,right,,16,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54003
EH0069,Haplospiza_unicolor,Thraupidae,Female,2000,2,DJF,,,6,15.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34299
JN0235,Haplospiza_unicolor,Thraupidae,Male,2013,11,SON,69,generic,,16,J.Zocche,Nova Veneza,Cubico  Vila Maria proximidades da REBIO do Aguaí,-49.671408,-28.649798,645,no,D126224
CF0748,Haplospiza_unicolor,Thraupidae,Male,2016,12,DJF,50.05,right,,15.1,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.178935,-29.482103,625,no,D88253
MV0346,Haplospiza_unicolor,Thraupidae,Female,2012,7,JJA,,,7.9,14,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,Yes,D109138
LI0391,Haplospiza_unicolor,Thraupidae,Male,2004,1,DJF,,,,16,I.de Faria,Alto Caparaó,,-41.816667,-20.466667,2015,,
VC1635,Haplospiza_unicolor,Thraupidae,Female,2010,10,SON,66,right,,,V.Cavarzere,Bofete,Fazenda Entre Rios,-48.433333,-23.266667,611,no,E104654
VC0972,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,63,right,,14,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
PA0800,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,65,right,,16,P.Antas,Pilar do Sul,Fazenda Vitoria,-47.684,-23.915,907,no,E69569
VC0593,Haplospiza_unicolor,Thraupidae,Female,2010,1,DJF,58,right,,19,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98674
VC0841,Haplospiza_unicolor,Thraupidae,Female,2010,4,MAM,,,,14,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
VC0822,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,,,,23,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98683
EH0464,Haplospiza_unicolor,Thraupidae,Male,1999,8,JJA,,,,18,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33338
PA0526,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,57,right,,15,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54023
PR0124,Haplospiza_unicolor,Thraupidae,Female,2002,4,MAM,65,left,7.3,15,A.Piratelli,Miguel Pereira,Fazenda Igapira,-42.38333,-22.5,120,no,D 30274
AR2946,Haplospiza_unicolor,Thraupidae,Female,2010,8,JJA,65,right,7.7,17,A.Ross,Itatiaia,Casa do Pesquisador Parque Nacional de Itatiaia,-44.607931,-22.452726,830,no,E73216
CF0005,Haplospiza_unicolor,Thraupidae,Male,2017,6,JJA,50.5,right,,14.9,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.186006,-29.499814,747,no,
EH0045,Haplospiza_unicolor,Thraupidae,Female,1999,12,DJF,,,5.6,16.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33385
VC0673,Haplospiza_unicolor,Thraupidae,Male,2010,2,DJF,,,,14.5,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98647
EH0470,Haplospiza_unicolor,Thraupidae,Male,1999,12,DJF,,,5.2,15,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33370
VC1946,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,64,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E104733
EH0482,Haplospiza_unicolor,Thraupidae,Male,2000,1,DJF,,,4.9,13,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,E34274
JN0172,Haplospiza_unicolor,Thraupidae,Female,2013,11,SON,62,generic,,15,J.Zocche,Nova Veneza,Cubico  Vila Maria proximidades da REBIO do Aguaí,-49.671408,-28.649798,645,no,D126329
EH1548,Haplospiza_unicolor,Thraupidae,Male,2002,2,DJF,,,5,15,E.Hasui,Ribeirão Grande,Parque Estadual Intervales Mirante da Anta,-48.40777778,-24.278333,916,,
VC1990,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,66,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E104749
EH0036,Haplospiza_unicolor,Thraupidae,Female,1999,11,SON,,,,17,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,D33364
PC0406,Haplospiza_unicolor,Thraupidae,Female,2012,12,DJF,66,right,6.9,19,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D64425
VC2205,Haplospiza_unicolor,Thraupidae,Male,2013,9,SON,69,right,,16.5,V.Cavarzere,Pilar do Sul,Fazenda João XXIII,-47.7,-23.883333,905,Yes,E151235
VC0703,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,65,right,,16,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,
EH1550,Haplospiza_unicolor,Thraupidae,Male,2002,3,MAM,,,5.7,15,E.Hasui,Ribeirão Grande,Parque Estadual Intervales Mirante da Anta,-48.40777778,-24.278333,916,,
EH1541,Haplospiza_unicolor,Thraupidae,Male,2001,5,MAM,,,6.4,10,E.Hasui,Ribeirão Grande,Parque Estadual Intervales Mirante da Anta,-48.40777778,-24.278333,916,,
VC0492,Haplospiza_unicolor,Thraupidae,Female,2010,1,DJF,57,right,,18,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98640
VC1821,Haplospiza_unicolor,Thraupidae,Male,2010,10,SON,67,right,,,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E104607
VC1005,Haplospiza_unicolor,Thraupidae,Female,2010,5,MAM,62,right,,15,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
PR0392,Haplospiza_unicolor,Thraupidae,Female,2004,10,SON,59,generic,6.9,,A.Piratelli,Teresópolis,Parque Nacional Serra dos Orgaos,-42.98,-22.41,1007,no,C21771
VC1485,Haplospiza_unicolor,Thraupidae,Male,2010,9,SON,,,,,V.Cavarzere,Bofete,Fazenda Entre Rios,-48.433333,-23.266667,611,no,
CB2068,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,,,,16.5,C.Banks-Leite,Piedade,,-47.48322,-23.886254,910,,E69900
VC0594,Haplospiza_unicolor,Thraupidae,Male,2010,1,DJF,61.6,right,,15.5,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98667
CF0772,Haplospiza_unicolor,Thraupidae,Male,2017,5,MAM,56,right,,15.9,C.Fontana,São Francisco de Paula,CPCN PróMata,-50.178935,-29.482103,625,no,E177520
MV0121,Haplospiza_unicolor,Thraupidae,Female,2010,8,JJA,62,generic,8.9,15,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,E147529
MV0305,Haplospiza_unicolor,Thraupidae,Female,2012,7,JJA,62,generic,8.2,16,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,D109145
EH0075,Haplospiza_unicolor,Thraupidae,Female,2000,2,DJF,,,6.5,16,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,G34334
VC0986,Haplospiza_unicolor,Thraupidae,Female,2010,4,MAM,,,,12,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
